case,schedule,phase,branch,lane,row_k3,stage,len,policy,min_value,max_value,max_abs,ceil_abs_over_q,exceeds_centered_q,exceeds_int16,range_class,next_addsub_i16_safe,next_fqmul_montgomery_safe
zero,current_ref,ntt32_stage_input,0,3,1,5,2,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,0,3,1,5,2,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,0,3,1,5,2,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,0,3,1,5,2,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_natural_input,0,3,2,0,1,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,0,3,2,1,32,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,0,3,2,1,32,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,0,3,2,1,32,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,0,3,2,1,32,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,0,3,2,2,16,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,0,3,2,2,16,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,0,3,2,2,16,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,0,3,2,2,16,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,0,3,2,3,8,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,0,3,2,3,8,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,0,3,2,3,8,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,0,3,2,3,8,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,0,3,2,4,4,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,0,3,2,4,4,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,0,3,2,4,4,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,0,3,2,4,4,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,0,3,2,5,2,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,0,3,2,5,2,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,0,3,2,5,2,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,0,3,2,5,2,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,top_split_raw,1,-1,-1,-1,0,no_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,after_twist,1,0,-1,-1,0,fqmul,0,0,0,0,0,0,centered,1,1
zero,current_ref,gt_input_mat,1,0,-1,-1,0,after_twist_gather,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_d_raw,1,0,-1,-1,0,before_d_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_t,1,0,-1,-1,0,fqmul_omega3,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_y_raw,1,0,-1,-1,0,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_y_stored,1,0,-1,-1,0,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_natural_input,1,0,0,0,1,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,0,1,32,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,0,1,32,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,0,1,32,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,0,1,32,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,0,2,16,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,0,2,16,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,0,2,16,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,0,2,16,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,0,3,8,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,0,3,8,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,0,3,8,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,0,3,8,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,0,4,4,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,0,4,4,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,0,4,4,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,0,4,4,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,0,5,2,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,0,5,2,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,0,5,2,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,0,5,2,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_natural_input,1,0,1,0,1,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,1,1,32,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,1,1,32,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,1,1,32,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,1,1,32,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,1,2,16,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,1,2,16,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,1,2,16,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,1,2,16,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,1,3,8,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,1,3,8,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,1,3,8,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,1,3,8,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,1,4,4,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,1,4,4,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,1,4,4,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,1,4,4,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,1,5,2,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,1,5,2,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,1,5,2,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,1,5,2,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_natural_input,1,0,2,0,1,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,2,1,32,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,2,1,32,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,2,1,32,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,2,1,32,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,2,2,16,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,2,2,16,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,2,2,16,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,2,2,16,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,2,3,8,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,2,3,8,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,2,3,8,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,2,3,8,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,2,4,4,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,2,4,4,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,2,4,4,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,2,4,4,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,0,2,5,2,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,0,2,5,2,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,0,2,5,2,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,0,2,5,2,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,after_twist,1,1,-1,-1,0,fqmul,0,0,0,0,0,0,centered,1,1
zero,current_ref,gt_input_mat,1,1,-1,-1,0,after_twist_gather,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_d_raw,1,1,-1,-1,0,before_d_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_t,1,1,-1,-1,0,fqmul_omega3,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_y_raw,1,1,-1,-1,0,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_y_stored,1,1,-1,-1,0,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_natural_input,1,1,0,0,1,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,0,1,32,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,0,1,32,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,0,1,32,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,0,1,32,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,0,2,16,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,0,2,16,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,0,2,16,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,0,2,16,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,0,3,8,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,0,3,8,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,0,3,8,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,0,3,8,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,0,4,4,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,0,4,4,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,0,4,4,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,0,4,4,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,0,5,2,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,0,5,2,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,0,5,2,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,0,5,2,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_natural_input,1,1,1,0,1,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,1,1,32,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,1,1,32,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,1,1,32,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,1,1,32,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,1,2,16,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,1,2,16,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,1,2,16,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,1,2,16,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,1,3,8,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,1,3,8,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,1,3,8,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,1,3,8,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,1,4,4,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,1,4,4,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,1,4,4,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,1,4,4,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,1,5,2,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,1,5,2,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,1,5,2,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,1,5,2,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_natural_input,1,1,2,0,1,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,2,1,32,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,2,1,32,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,2,1,32,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,2,1,32,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,2,2,16,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,2,2,16,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,2,2,16,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,2,2,16,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,2,3,8,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,2,3,8,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,2,3,8,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,2,3,8,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,2,4,4,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,2,4,4,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,2,4,4,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,2,4,4,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,1,2,5,2,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,1,2,5,2,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,1,2,5,2,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,1,2,5,2,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,after_twist,1,2,-1,-1,0,fqmul,0,0,0,0,0,0,centered,1,1
zero,current_ref,gt_input_mat,1,2,-1,-1,0,after_twist_gather,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_d_raw,1,2,-1,-1,0,before_d_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_t,1,2,-1,-1,0,fqmul_omega3,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_y_raw,1,2,-1,-1,0,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_y_stored,1,2,-1,-1,0,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_natural_input,1,2,0,0,1,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,0,1,32,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,0,1,32,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,0,1,32,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,0,1,32,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,0,2,16,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,0,2,16,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,0,2,16,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,0,2,16,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,0,3,8,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,0,3,8,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,0,3,8,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,0,3,8,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,0,4,4,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,0,4,4,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,0,4,4,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,0,4,4,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,0,5,2,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,0,5,2,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,0,5,2,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,0,5,2,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_natural_input,1,2,1,0,1,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,1,1,32,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,1,1,32,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,1,1,32,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,1,1,32,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,1,2,16,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,1,2,16,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,1,2,16,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,1,2,16,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,1,3,8,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,1,3,8,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,1,3,8,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,1,3,8,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,1,4,4,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,1,4,4,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,1,4,4,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,1,4,4,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,1,5,2,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,1,5,2,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,1,5,2,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,1,5,2,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_natural_input,1,2,2,0,1,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,2,1,32,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,2,1,32,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,2,1,32,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,2,1,32,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,2,2,16,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,2,2,16,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,2,2,16,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,2,2,16,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,2,3,8,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,2,3,8,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,2,3,8,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,2,3,8,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,2,4,4,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,2,4,4,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,2,4,4,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,2,4,4,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,2,2,5,2,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,2,2,5,2,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,2,2,5,2,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,2,2,5,2,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,after_twist,1,3,-1,-1,0,fqmul,0,0,0,0,0,0,centered,1,1
zero,current_ref,gt_input_mat,1,3,-1,-1,0,after_twist_gather,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_d_raw,1,3,-1,-1,0,before_d_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_t,1,3,-1,-1,0,fqmul_omega3,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_y_raw,1,3,-1,-1,0,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,dft3_y_stored,1,3,-1,-1,0,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_natural_input,1,3,0,0,1,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,3,0,1,32,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,3,0,1,32,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,3,0,1,32,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,3,0,1,32,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,3,0,2,16,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,3,0,2,16,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,3,0,2,16,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,3,0,2,16,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,3,0,3,8,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,3,0,3,8,dif_high_output,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_raw,1,3,0,3,8,before_optional_reduce,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_stored,1,3,0,3,8,reduced,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_input,1,3,0,4,4,before_butterfly,0,0,0,0,0,0,centered,1,1
zero,current_ref,ntt32_stage_fqmul,1,3,0,4,4,dif_high_output,0,0,0,0,0,0,centered,1,1
